zip_code,locality_code,state,carrier,rural_indicator,lab_cb_locality,rural_indicator_legacy,plus_four_flag,part_b_payment_indicator,year_quarter
00210,40,NH,14312,,Z9,,0,A,20262
00211,40,NH,14312,,Z9,,0,A,20262
00212,40,NH,14312,,Z9,,0,A,20262
00213,40,NH,14312,,Z9,,0,A,20262
00214,40,NH,14312,,Z9,,0,A,20262
00215,40,NH,14312,,Z9,,0,A,20262
00303,00,VA,11302,,Z9,,0,A,20262
00304,00,VA,11302,R,Z9,R,0,A,20262
00323,00,VA,11302,,Z9,,0,A,20262
00353,00,VA,11302,,Z9,,0,A,20262
00501,02,NY,13202,,Z9,,0,A,20262
00544,02,NY,13202,,Z9,,0,A,20262
00601,20,PR,09202,R,Z9,R,0,A,20262
00602,20,PR,09202,,Z9,,0,A,20262
00603,20,PR,09202,,Z9,,0,A,20262
00604,20,PR,09202,,Z9,,0,A,20262
00605,20,PR,09202,,Z9,,0,A,20262
00606,20,PR,09202,R,Z9,R,0,A,20262
00610,20,PR,09202,,Z9,,0,A,20262
00611,20,PR,09202,,Z9,,0,A,20262
00612,20,PR,09202,,Z9,,0,A,20262
00613,20,PR,09202,,Z9,,0,A,20262
00614,20,PR,09202,,Z9,,0,A,20262
00616,20,PR,09202,,Z9,,0,A,20262
00617,20,PR,09202,,Z9,,0,A,20262
00622,20,PR,09202,,Z9,,0,A,20262
00623,20,PR,09202,,Z9,,0,A,20262
00624,20,PR,09202,,Z9,,0,A,20262
00627,20,PR,09202,,Z9,,0,A,20262
00631,20,PR,09202,R,Z9,R,0,A,20262
00636,20,PR,09202,,Z9,,0,A,20262
00637,20,PR,09202,,Z9,,0,A,20262
00638,20,PR,09202,,Z9,,0,A,20262
00641,20,PR,09202,,Z9,,0,A,20262
00646,20,PR,09202,,Z9,,0,A,20262
00647,20,PR,09202,,Z9,,0,A,20262
00650,20,PR,09202,,Z9,,0,A,20262
00652,20,PR,09202,,Z9,,0,A,20262
00653,20,PR,09202,,Z9,,0,A,20262
00656,20,PR,09202,,Z9,,0,A,20262
00659,20,PR,09202,,Z9,,0,A,20262
00660,20,PR,09202,,Z9,,0,A,20262
00662,20,PR,09202,,Z9,,0,A,20262
00664,20,PR,09202,R,Z9,R,0,A,20262
00667,20,PR,09202,,Z9,,0,A,20262
00669,20,PR,09202,,Z9,,0,A,20262
00670,20,PR,09202,,Z9,,0,A,20262
00674,20,PR,09202,,Z9,,0,A,20262
00676,20,PR,09202,,Z9,,0,A,20262
00677,20,PR,09202,,Z9,,0,A,20262
00678,20,PR,09202,,Z9,,0,A,20262
00680,20,PR,09202,,Z9,,0,A,20262
00681,20,PR,09202,,Z9,,0,A,20262
00682,20,PR,09202,,Z9,,0,A,20262
00683,20,PR,09202,,Z9,,0,A,20262
00685,20,PR,09202,,Z9,,0,A,20262
00687,20,PR,09202,,Z9,,0,A,20262
00688,20,PR,09202,,Z9,,0,A,20262
00690,20,PR,09202,,Z9,,0,A,20262
00692,20,PR,09202,,Z9,,0,A,20262
00693,20,PR,09202,,Z9,,0,A,20262
00694,20,PR,09202,,Z9,,0,A,20262
00698,20,PR,09202,,Z9,,0,A,20262
00703,20,PR,09202,,Z9,,0,A,20262
00704,20,PR,09202,R,Z9,R,0,A,20262
00705,20,PR,09202,,Z9,,0,A,20262
00707,20,PR,09202,R,Z9,R,0,A,20262
00714,20,PR,09202,,Z9,,0,A,20262
00715,20,PR,09202,,Z9,,0,A,20262
00716,20,PR,09202,,Z9,,0,A,20262
00717,20,PR,09202,,Z9,,0,A,20262
00718,20,PR,09202,,Z9,,0,A,20262
00719,20,PR,09202,,Z9,,0,A,20262
00720,20,PR,09202,,Z9,,0,A,20262
00721,20,PR,09202,,Z9,,0,A,20262
00723,20,PR,09202,,Z9,,0,A,20262
00725,20,PR,09202,,Z9,,0,A,20262
00726,20,PR,09202,,Z9,,0,A,20262
00727,20,PR,09202,,Z9,,0,A,20262
00728,20,PR,09202,,Z9,,0,A,20262
00729,20,PR,09202,,Z9,,0,A,20262
00730,20,PR,09202,,Z9,,0,A,20262
00731,20,PR,09202,,Z9,,0,A,20262
00732,20,PR,09202,,Z9,,0,A,20262
00733,20,PR,09202,,Z9,,0,A,20262
00734,20,PR,09202,,Z9,,0,A,20262
00735,20,PR,09202,,Z9,,0,A,20262
