effective_start,effective_end,cpt_hcpcs,modifier,allowed_amount,pricing_context,source_code,source_description
1993-02-01,,L2270,,31.98,FACILITY,PRCR402C,PHYSICIAN
1993-02-01,,L2270,,31.98,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
1993-02-01,,L2270,,31.98,NONFACILITY,PRCR402C,PHYSICIAN
1993-02-01,,L2270,,31.98,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
1995-04-01,,A9150,FP,14.00,NONFACILITY,PRCR402C,PHYSICIAN
1995-04-01,,A9150,FP,14.00,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2003-05-01,,L7368,,409.27,NONFACILITY,PRCR402C,PHYSICIAN
2003-05-01,,L7368,,409.27,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2006-02-01,,L8615,,365.74,NONFACILITY,PRCR402C,PHYSICIAN
2006-02-01,,L8615,,365.74,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2006-02-01,,L8616,,85.19,NONFACILITY,PRCR402C,PHYSICIAN
2006-02-01,,L8616,,85.19,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2006-02-01,,L8617,,74.40,NONFACILITY,PRCR402C,PHYSICIAN
2006-02-01,,L8617,,74.40,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2006-02-01,,L8618,,21.25,NONFACILITY,PRCR402C,PHYSICIAN
2006-02-01,,L8618,,21.25,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2006-02-01,,L8619,,6663.57,NONFACILITY,PRCR402C,PHYSICIAN
2006-02-01,,L8619,,6663.57,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99202,,41.09,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99202,TH,41.09,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99202,,41.09,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99202,TH,41.09,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99202,,41.09,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99202,TH,41.09,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99202,,41.09,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99202,TH,41.09,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99203,TH,55.52,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99203,,55.52,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99203,TH,55.52,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99203,,55.52,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99203,TH,55.52,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99203,,55.52,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99203,TH,55.52,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99203,,55.52,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99204,,81.24,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99204,FP,90.07,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99204,FP,81.24,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99204,TH,81.24,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99204,,81.24,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99204,FP,90.07,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99204,FP,81.24,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99204,TH,81.24,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99204,,81.24,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99204,FP,90.07,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99204,FP,81.24,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99204,TH,81.24,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99204,,81.24,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99204,FP,90.07,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99204,FP,81.24,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99204,TH,81.24,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99205,,101.00,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99205,TH,101.00,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99205,,101.00,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99205,TH,101.00,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99205,,101.00,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99205,TH,101.00,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99205,,101.00,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99205,TH,101.00,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99211,,13.49,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99211,TH,13.49,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99211,,13.49,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99211,TH,13.49,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99211,,13.49,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99211,TH,13.49,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99211,,13.49,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99211,TH,13.49,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99212,TH,22.59,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99212,,22.59,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99212,TH,22.59,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99212,,22.59,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99212,TH,22.59,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99212,,22.59,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99212,TH,22.59,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99212,,22.59,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99213,TH,33.95,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99213,,33.95,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99213,TH,33.95,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99213,,33.95,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99213,TH,33.95,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99213,,33.95,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99213,TH,33.95,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99213,,33.95,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99214,,47.68,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99214,FP,52.86,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99214,FP,47.68,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99214,TH,47.68,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99214,,47.68,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99214,FP,52.86,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99214,FP,47.68,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99214,TH,47.68,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99214,,47.68,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99214,FP,52.86,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99214,FP,47.68,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99214,TH,47.68,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99214,,47.68,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99214,FP,52.86,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99214,FP,47.68,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99214,TH,47.68,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99215,,73.40,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99215,TH,73.40,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99215,,73.40,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99215,TH,73.40,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99215,,73.40,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99215,TH,73.40,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99215,,73.40,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99215,TH,73.40,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99221,,59.92,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99221,,59.92,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99221,,59.92,NONFACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99221,,59.92,NONFACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
2007-09-01,,99222,,95.05,FACILITY,PRCR402C,PHYSICIAN
2007-09-01,,99222,,95.05,FACILITY,PRCR475C,PHYSICIAN - ORTHOPEDIC SURGERY
