cpt_hcpcs,modifier_1,modifier_2,age_from,age_thru,age_units,nonfacility_total_rvus_or_base_units,nonfacility_conversion_factor,nonfacility_allowed_amount,nonfacility_effective_start,facility_total_rvus_or_base_units,facility_conversion_factor,facility_allowed_amount,facility_effective_start,note_code_1,note_code_2,note_code_3,last_pricing_review_date,tos,tos_desc,source_code,source_description
00100,,,0,20,Years,5.00,34.0000,0.00,2019-03-01,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00100,,,0,20,Years,5.00,25.6000,0.00,2017-11-01,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00100,,,21,999,Years,5.00,24.3200,0.00,2017-11-01,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00102,,,0,20,Years,6.00,34.0000,0.00,2019-03-01,6.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00102,,,0,20,Years,6.00,25.6000,0.00,2017-11-01,6.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00102,,,21,999,Years,6.00,24.3200,0.00,2017-11-01,6.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00103,,,0,20,Years,,,,,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00103,,,0,20,Years,,,,,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00103,,,21,999,Years,,,,,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00104,,,0,20,Years,,,,,4.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00104,,,0,20,Years,,,,,4.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00104,,,21,999,Years,,,,,4.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00120,,,0,20,Years,,,,,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00120,,,0,20,Years,,,,,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00120,,,21,999,Years,,,,,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00124,,,0,20,Years,,,,,4.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00124,,,0,20,Years,,,,,4.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00124,,,21,999,Years,,,,,4.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00126,,,0,20,Years,4.00,34.0000,0.00,2019-03-01,4.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00126,,,0,20,Years,4.00,25.6000,0.00,2017-11-01,4.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00126,,,21,999,Years,4.00,24.3200,0.00,2017-11-01,4.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00140,,,0,20,Years,5.00,34.0000,0.00,2019-03-01,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00140,,,0,20,Years,5.00,25.6000,0.00,2017-11-01,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00140,,,21,999,Years,5.00,24.3200,0.00,2017-11-01,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00142,,,0,20,Years,4.00,34.0000,0.00,2019-03-01,4.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00142,,,0,20,Years,4.00,25.6000,0.00,2017-11-01,4.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00142,,,21,999,Years,4.00,24.3200,0.00,2017-11-01,4.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00144,,,0,20,Years,,,,,6.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00144,,,0,20,Years,,,,,6.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00144,,,21,999,Years,,,,,6.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00145,,,0,20,Years,6.00,34.0000,0.00,2019-03-01,6.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00145,,,0,20,Years,6.00,25.6000,0.00,2017-11-01,6.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00145,,,21,999,Years,6.00,24.3200,0.00,2017-11-01,6.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00147,,,0,20,Years,,,,,4.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00147,,,0,20,Years,,,,,4.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00147,,,21,999,Years,,,,,4.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00148,,,0,20,Years,,,,,4.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00148,,,0,20,Years,,,,,4.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00148,,,21,999,Years,,,,,4.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00160,,,0,20,Years,5.00,34.0000,0.00,2019-03-01,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00160,,,0,20,Years,5.00,25.6000,0.00,2017-11-01,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00160,,,21,999,Years,5.00,24.3200,0.00,2017-11-01,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00162,,,0,20,Years,,,,,7.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00162,,,0,20,Years,,,,,7.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00162,,,21,999,Years,,,,,7.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00164,,,0,20,Years,4.00,34.0000,0.00,2019-03-01,4.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00164,,,0,20,Years,4.00,25.6000,0.00,2017-11-01,4.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00164,,,21,999,Years,4.00,24.3200,0.00,2017-11-01,4.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00170,,,0,20,Years,5.00,34.0000,0.00,2019-03-01,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00170,,,0,20,Years,5.00,25.6000,0.00,2017-11-01,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00170,,,21,999,Years,5.00,24.3200,0.00,2017-11-01,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00170,U3,,0,20,Years,5.00,27.2760,0.00,2018-02-01,5.00,27.2760,0.00,2018-02-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00170,U3,,21,999,Years,5.00,27.2760,0.00,2018-02-01,5.00,27.2760,0.00,2018-02-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00172,,,0,20,Years,,,,,6.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00172,,,0,20,Years,,,,,6.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00172,,,21,999,Years,,,,,6.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00174,,,0,20,Years,,,,,6.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00174,,,0,20,Years,,,,,6.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00174,,,21,999,Years,,,,,6.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00176,,,0,20,Years,,,,,7.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00176,,,0,20,Years,,,,,7.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00176,,,21,999,Years,,,,,7.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00190,,,0,20,Years,5.00,34.0000,0.00,2019-03-01,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00190,,,0,20,Years,5.00,25.6000,0.00,2017-11-01,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00190,,,21,999,Years,5.00,24.3200,0.00,2017-11-01,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00192,,,0,20,Years,,,,,7.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00192,,,0,20,Years,,,,,7.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00192,,,21,999,Years,,,,,7.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00210,,,0,20,Years,,,,,11.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00210,,,0,20,Years,,,,,11.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00210,,,21,999,Years,,,,,11.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
