cpt_hcpcs,tos,tos_desc,age_from,age_thru,age_units,urban_allowed_amount,urban_effective_start,rural_allowed_amount,rural_effective_start,note_code_1,note_code_2,note_code_3,last_pricing_review_date,source_code,source_description
70010,4,RADIOLOGY,0,999,Years,57.48,2025-03-01,461.69,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70015,4,RADIOLOGY,0,999,Years,166.40,2025-03-01,961.23,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70030,4,RADIOLOGY,0,999,Years,32.75,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70100,4,RADIOLOGY,0,999,Years,39.09,2025-03-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70110,4,RADIOLOGY,0,999,Years,43.78,2025-03-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70120,4,RADIOLOGY,0,999,Years,38.43,2025-03-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70130,4,RADIOLOGY,0,999,Years,62.15,2025-03-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70134,4,RADIOLOGY,0,999,Years,62.15,2025-03-01,662.29,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70140,4,RADIOLOGY,0,999,Years,32.08,2025-03-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70150,4,RADIOLOGY,0,999,Years,47.45,2025-03-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70160,4,RADIOLOGY,0,999,Years,37.76,2025-03-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70170,4,RADIOLOGY,0,999,Years,57.58,2025-03-01,294.17,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70190,4,RADIOLOGY,0,999,Years,37.76,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70200,4,RADIOLOGY,0,999,Years,48.11,2023-09-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70210,4,RADIOLOGY,0,999,Years,32.41,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70220,4,RADIOLOGY,0,999,Years,37.76,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70240,4,RADIOLOGY,0,999,Years,33.08,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70250,4,RADIOLOGY,0,999,Years,36.09,2023-09-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70260,4,RADIOLOGY,0,999,Years,44.78,2023-09-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70300,4,RADIOLOGY,0,999,Years,13.03,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70310,4,RADIOLOGY,0,999,Years,40.76,2025-03-01,294.17,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70320,4,RADIOLOGY,0,999,Years,53.46,2025-03-01,294.17,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70328,4,RADIOLOGY,0,999,Years,34.75,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70330,4,RADIOLOGY,0,999,Years,53.13,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70332,4,RADIOLOGY,0,999,Years,82.86,2025-03-01,294.17,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70336,4,RADIOLOGY,0,999,Years,233.47,2025-03-01,294.17,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70350,4,RADIOLOGY,0,999,Years,16.71,2025-03-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
