file_name,scenario,zip,locality_code,locality_name,claim_count,expected_total_variance,expected_total_payment
medicare_synthetic_001_exact_pay.835,exact_pay,78701,31,AUSTIN,2,0.0,45.67
medicare_synthetic_002_exact_pay.835,exact_pay,78701,31,AUSTIN,2,0.0,214.9
medicare_synthetic_003_exact_pay.835,exact_pay,78701,31,AUSTIN,2,0.0,31.64
medicare_synthetic_004_exact_pay.835,exact_pay,78701,31,AUSTIN,2,0.0,59.7
medicare_synthetic_005_mild_underpay.835,mild_underpay,78701,31,AUSTIN,2,13.46,154.78
medicare_synthetic_006_mild_underpay.835,mild_underpay,78701,31,AUSTIN,2,41.86,481.38
medicare_synthetic_007_mild_underpay.835,mild_underpay,78701,31,AUSTIN,2,7.6,87.34
medicare_synthetic_008_mild_underpay.835,mild_underpay,78701,31,AUSTIN,2,22.26,255.9
medicare_synthetic_009_severe_underpay.835,severe_underpay,78701,31,AUSTIN,2,299.34,698.48
medicare_synthetic_010_severe_underpay.835,severe_underpay,78701,31,AUSTIN,2,156.97,366.27
medicare_synthetic_011_severe_underpay.835,severe_underpay,78701,31,AUSTIN,2,25.93,60.5
medicare_synthetic_012_severe_underpay.835,severe_underpay,78701,31,AUSTIN,2,62.9,146.79
medicare_synthetic_013_overpay.835,overpay,78701,31,AUSTIN,2,-8.42,176.66
medicare_synthetic_014_overpay.835,overpay,78701,31,AUSTIN,2,-7.99,167.72
medicare_synthetic_015_overpay.835,overpay,78701,31,AUSTIN,2,-5.02,105.48
medicare_synthetic_016_overpay.835,overpay,78701,31,AUSTIN,2,-12.57,263.93
medicare_synthetic_017_deductible_split.835,deductible_split,78701,31,AUSTIN,2,52.42,157.27
medicare_synthetic_018_deductible_split.835,deductible_split,78701,31,AUSTIN,2,62.84,188.52
medicare_synthetic_019_deductible_split.835,deductible_split,78701,31,AUSTIN,2,56.08,467.16
medicare_synthetic_020_deductible_split.835,deductible_split,78701,31,AUSTIN,2,12.16,36.5
medicare_synthetic_021_coinsurance_split.835,coinsurance_split,78701,31,AUSTIN,2,24.65,98.62
medicare_synthetic_022_coinsurance_split.835,coinsurance_split,78701,31,AUSTIN,2,17.28,69.15
medicare_synthetic_023_coinsurance_split.835,coinsurance_split,78701,31,AUSTIN,2,50.27,201.09
medicare_synthetic_024_coinsurance_split.835,coinsurance_split,78701,31,AUSTIN,2,33.65,134.59
medicare_synthetic_025_modifier_25.835,modifier_25,78701,31,AUSTIN,2,62.79,460.45
medicare_synthetic_026_modifier_25.835,modifier_25,78701,31,AUSTIN,2,19.61,143.8
medicare_synthetic_027_modifier_25.835,modifier_25,78701,31,AUSTIN,2,61.77,452.96
medicare_synthetic_028_modifier_25.835,modifier_25,78701,31,AUSTIN,2,29.58,216.95
medicare_synthetic_029_modifier_59.835,modifier_59,78701,31,AUSTIN,2,2.71,51.47
