year,locality_code,locality_name,work_gpci,pe_gpci,mp_gpci
2026,00,ALABAMA,1.000,0.875,0.566
2026,01,ALASKA*,1.500,1.065,0.551
2026,00,ARIZONA,1.000,0.969,0.856
2026,13,ARKANSAS,1.000,0.859,0.515
2026,54,BAKERSFIELD,1.019,1.096,0.609
2026,55,CHICO,1.017,1.096,0.536
2026,71,EL CENTRO,1.017,1.096,0.541
2026,56,FRESNO,1.017,1.096,0.536
2026,57,HANFORD-CORCORAN,1.017,1.096,0.536
2026,18,LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES/ORANGE CNTY),1.041,1.183,0.664
2026,58,MADERA,1.017,1.096,0.536
2026,59,MERCED,1.017,1.096,0.536
2026,60,MODESTO,1.017,1.096,0.536
2026,51,NAPA,1.063,1.318,0.508
2026,17,OXNARD-THOUSAND OAKS-VENTURA,1.028,1.182,0.623
2026,61,REDDING,1.017,1.096,0.536
2026,62,RIVERSIDE-SAN BERNARDINO-ONTARIO,1.018,1.096,0.853
2026,63,SACRAMENTO-ROSEVILLE-FOLSOM,1.036,1.163,0.536
2026,64,SALINAS,1.031,1.159,0.536
2026,72,SAN DIEGO-CHULA VISTA-CARLSBAD,1.030,1.196,0.542
2026,05,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO/SAN MATEO/ALAMEDA/CONTRA COSTA CNTY),1.095,1.410,0.425
2026,52,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY),1.095,1.410,0.459
2026,65,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),1.110,1.442,0.536
2026,73,SAN LUIS OBISPO-PASO ROBLES,1.017,1.139,0.536
2026,09,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),1.110,1.442,0.397
2026,66,SANTA CRUZ-WATSONVILLE,1.021,1.215,0.536
2026,74,SANTA MARIA-SANTA BARBARA,1.028,1.166,0.536
2026,67,SANTA ROSA-PETALUMA,1.030,1.228,0.536
2026,68,STOCKTON,1.017,1.096,0.536
2026,53,VALLEJO,1.063,1.318,0.459
2026,69,VISALIA,1.017,1.096,0.536
2026,70,YUBA CITY,1.017,1.096,0.536
2026,75,REST OF CALIFORNIA,1.017,1.096,0.536
2026,01,COLORADO,1.012,1.064,0.781
2026,00,CONNECTICUT,1.020,1.077,1.210
2026,01,DC + MD/VA SUBURBS,1.054,1.178,1.113
2026,01,DELAWARE,1.005,0.988,0.899
2026,03,FORT LAUDERDALE,1.000,1.013,1.808
2026,04,MIAMI,1.000,1.041,2.529
2026,99,REST OF FLORIDA,1.000,0.956,1.503
2026,01,ATLANTA,1.003,1.016,1.201
2026,99,REST OF GEORGIA,1.000,0.892,1.192
2026,01,"HAWAII, GUAM",1.000,1.137,0.579
2026,00,IDAHO,1.000,0.920,0.473
2026,16,CHICAGO,1.007,1.005,2.295
2026,12,EAST ST. LOUIS,1.000,0.920,2.014
2026,15,SUBURBAN CHICAGO,1.007,1.027,1.772
2026,99,REST OF ILLINOIS,1.000,0.913,1.563
2026,00,INDIANA,1.000,0.927,0.486
2026,00,IOWA,1.000,0.915,0.397
2026,00,KANSAS,1.000,0.904,0.504
2026,00,KENTUCKY,1.000,0.889,0.915
2026,01,NEW ORLEANS,1.000,0.941,1.136
2026,99,REST OF LOUISIANA,1.000,0.885,0.958
2026,03,SOUTHERN MAINE,1.000,0.991,0.631
2026,99,REST OF MAINE,1.000,0.920,0.622
