year,cpt_hcpcs,work_rvu,pe_rvu_facility,pe_rvu_nonfacility,mp_rvu,status_indicator,global_days
2026,0001F,0.00,0.00,0.00,0.00,I,XXX
2026,0005F,0.00,0.00,0.00,0.00,I,XXX
2026,00100,0.00,0.00,0.00,0.00,J,XXX
2026,00102,0.00,0.00,0.00,0.00,J,XXX
2026,00103,0.00,0.00,0.00,0.00,J,XXX
2026,00104,0.00,0.00,0.00,0.00,J,XXX
2026,00120,0.00,0.00,0.00,0.00,J,XXX
2026,00124,0.00,0.00,0.00,0.00,J,XXX
2026,00126,0.00,0.00,0.00,0.00,J,XXX
2026,0012F,0.00,0.00,0.00,0.00,I,XXX
2026,00140,0.00,0.00,0.00,0.00,J,XXX
2026,00142,0.00,0.00,0.00,0.00,J,XXX
2026,00144,0.00,0.00,0.00,0.00,J,XXX
2026,00145,0.00,0.00,0.00,0.00,J,XXX
2026,00147,0.00,0.00,0.00,0.00,J,XXX
2026,00148,0.00,0.00,0.00,0.00,J,XXX
2026,0014F,0.00,0.00,0.00,0.00,I,XXX
2026,0015F,0.00,0.00,0.00,0.00,I,XXX
2026,00160,0.00,0.00,0.00,0.00,J,XXX
2026,00162,0.00,0.00,0.00,0.00,J,XXX
2026,00164,0.00,0.00,0.00,0.00,J,XXX
2026,00170,0.00,0.00,0.00,0.00,J,XXX
2026,00172,0.00,0.00,0.00,0.00,J,XXX
2026,00174,0.00,0.00,0.00,0.00,J,XXX
2026,00176,0.00,0.00,0.00,0.00,J,XXX
2026,00190,0.00,0.00,0.00,0.00,J,XXX
2026,00192,0.00,0.00,0.00,0.00,J,XXX
2026,00210,0.00,0.00,0.00,0.00,J,XXX
2026,00211,0.00,0.00,0.00,0.00,J,XXX
2026,00212,0.00,0.00,0.00,0.00,J,XXX
2026,00214,0.00,0.00,0.00,0.00,J,XXX
2026,00215,0.00,0.00,0.00,0.00,J,XXX
2026,00216,0.00,0.00,0.00,0.00,J,XXX
2026,00218,0.00,0.00,0.00,0.00,J,XXX
2026,00220,0.00,0.00,0.00,0.00,J,XXX
2026,00222,0.00,0.00,0.00,0.00,J,XXX
2026,00300,0.00,0.00,0.00,0.00,J,XXX
2026,00320,0.00,0.00,0.00,0.00,J,XXX
2026,00322,0.00,0.00,0.00,0.00,J,XXX
2026,00326,0.00,0.00,0.00,0.00,J,XXX
2026,00350,0.00,0.00,0.00,0.00,J,XXX
2026,00352,0.00,0.00,0.00,0.00,J,XXX
2026,00400,0.00,0.00,0.00,0.00,J,XXX
2026,00402,0.00,0.00,0.00,0.00,J,XXX
2026,00404,0.00,0.00,0.00,0.00,J,XXX
2026,00406,0.00,0.00,0.00,0.00,J,XXX
2026,00410,0.00,0.00,0.00,0.00,J,XXX
2026,00450,0.00,0.00,0.00,0.00,J,XXX
2026,00454,0.00,0.00,0.00,0.00,J,XXX
2026,00470,0.00,0.00,0.00,0.00,J,XXX
2026,00472,0.00,0.00,0.00,0.00,J,XXX
2026,00474,0.00,0.00,0.00,0.00,J,XXX
2026,00500,0.00,0.00,0.00,0.00,J,XXX
2026,00520,0.00,0.00,0.00,0.00,J,XXX
2026,00522,0.00,0.00,0.00,0.00,J,XXX
2026,00524,0.00,0.00,0.00,0.00,J,XXX
2026,00528,0.00,0.00,0.00,0.00,J,XXX
2026,00529,0.00,0.00,0.00,0.00,J,XXX
2026,00530,0.00,0.00,0.00,0.00,J,XXX
2026,00532,0.00,0.00,0.00,0.00,J,XXX
2026,00534,0.00,0.00,0.00,0.00,J,XXX
2026,00537,0.00,0.00,0.00,0.00,J,XXX
2026,00539,0.00,0.00,0.00,0.00,J,XXX
2026,00540,0.00,0.00,0.00,0.00,J,XXX
2026,00541,0.00,0.00,0.00,0.00,J,XXX
2026,00542,0.00,0.00,0.00,0.00,J,XXX
2026,00546,0.00,0.00,0.00,0.00,J,XXX
2026,00548,0.00,0.00,0.00,0.00,J,XXX
2026,0054T,0.00,0.00,0.00,0.00,C,XXX
2026,00550,0.00,0.00,0.00,0.00,J,XXX
2026,0055T,0.00,0.00,0.00,0.00,C,XXX
2026,00560,0.00,0.00,0.00,0.00,J,XXX
2026,00561,0.00,0.00,0.00,0.00,J,XXX
2026,00562,0.00,0.00,0.00,0.00,J,XXX
2026,00563,0.00,0.00,0.00,0.00,J,XXX
2026,00566,0.00,0.00,0.00,0.00,J,XXX
2026,00567,0.00,0.00,0.00,0.00,J,XXX
2026,00580,0.00,0.00,0.00,0.00,J,XXX
2026,00600,0.00,0.00,0.00,0.00,J,XXX
2026,00604,0.00,0.00,0.00,0.00,J,XXX
2026,00620,0.00,0.00,0.00,0.00,J,XXX
2026,00625,0.00,0.00,0.00,0.00,J,XXX
2026,00626,0.00,0.00,0.00,0.00,J,XXX
2026,00630,0.00,0.00,0.00,0.00,J,XXX
2026,00632,0.00,0.00,0.00,0.00,J,XXX
2026,00635,0.00,0.00,0.00,0.00,J,XXX
2026,00640,0.00,0.00,0.00,0.00,J,XXX
2026,00670,0.00,0.00,0.00,0.00,J,XXX
2026,00700,0.00,0.00,0.00,0.00,J,XXX
2026,00702,0.00,0.00,0.00,0.00,J,XXX
2026,0071T,0.00,0.00,0.00,0.00,C,XXX
2026,0072T,0.00,0.00,0.00,0.00,C,XXX
2026,00730,0.00,0.00,0.00,0.00,J,XXX
2026,00731,0.00,0.00,0.00,0.00,J,XXX
2026,00732,0.00,0.00,0.00,0.00,J,XXX
2026,00750,0.00,0.00,0.00,0.00,J,XXX
2026,00752,0.00,0.00,0.00,0.00,J,XXX
2026,00754,0.00,0.00,0.00,0.00,J,XXX
2026,00756,0.00,0.00,0.00,0.00,J,XXX
2026,0075T,0.00,0.00,0.00,0.00,C,XXX
2026,0075T,0.00,0.00,0.00,0.00,C,XXX
2026,0075T,0.00,0.00,0.00,0.00,C,XXX
2026,0076T,0.00,0.00,0.00,0.00,C,XXX
2026,0076T,0.00,0.00,0.00,0.00,C,XXX
2026,0076T,0.00,0.00,0.00,0.00,C,XXX
2026,00770,0.00,0.00,0.00,0.00,J,XXX
2026,00790,0.00,0.00,0.00,0.00,J,XXX
2026,00792,0.00,0.00,0.00,0.00,J,XXX
2026,00794,0.00,0.00,0.00,0.00,J,XXX
2026,00796,0.00,0.00,0.00,0.00,J,XXX
2026,00797,0.00,0.00,0.00,0.00,J,XXX
2026,00800,0.00,0.00,0.00,0.00,J,XXX
2026,00802,0.00,0.00,0.00,0.00,J,XXX
2026,00811,0.00,0.00,0.00,0.00,J,XXX
2026,00812,0.00,0.00,0.00,0.00,J,XXX
2026,00813,0.00,0.00,0.00,0.00,J,XXX
2026,00820,0.00,0.00,0.00,0.00,J,XXX
2026,00830,0.00,0.00,0.00,0.00,J,XXX
2026,00832,0.00,0.00,0.00,0.00,J,XXX
2026,00834,0.00,0.00,0.00,0.00,J,XXX
2026,00836,0.00,0.00,0.00,0.00,J,XXX
2026,00840,0.00,0.00,0.00,0.00,J,XXX
2026,00842,0.00,0.00,0.00,0.00,J,XXX
2026,00844,0.00,0.00,0.00,0.00,J,XXX
2026,00846,0.00,0.00,0.00,0.00,J,XXX
2026,00848,0.00,0.00,0.00,0.00,J,XXX
2026,00851,0.00,0.00,0.00,0.00,J,XXX
2026,00860,0.00,0.00,0.00,0.00,J,XXX
2026,00862,0.00,0.00,0.00,0.00,J,XXX
2026,00864,0.00,0.00,0.00,0.00,J,XXX
2026,00865,0.00,0.00,0.00,0.00,J,XXX
2026,00866,0.00,0.00,0.00,0.00,J,XXX
2026,00868,0.00,0.00,0.00,0.00,J,XXX
2026,00870,0.00,0.00,0.00,0.00,J,XXX
2026,00872,0.00,0.00,0.00,0.00,J,XXX
2026,00873,0.00,0.00,0.00,0.00,J,XXX
2026,00880,0.00,0.00,0.00,0.00,J,XXX
2026,00882,0.00,0.00,0.00,0.00,J,XXX
2026,00902,0.00,0.00,0.00,0.00,J,XXX
2026,00904,0.00,0.00,0.00,0.00,J,XXX
